day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day3,3184,"VINTAGE 14K GOLD DIAMOND SOLITAIRE RING",1000,2000,500,3,3,https://live.thomastonauction.com/auction-lot/vintage-14k-gold-diamond-solitaire-ring_61b1052d59
day3,3201,"VINTAGE 14K GOLD, TANZANITE, AND DIAMOND RING",1000,2000,500,3,2,https://live.thomastonauction.com/auction-lot/vintage-14k-gold-tanzanite-and-diamond-ring_3c0b5fc1ea
day3,3199,"VINTAGE 14K GOLD TWO DIAMOND BYPASS RING",2000,2500,1000,3,2,https://live.thomastonauction.com/auction-lot/vintage-14k-gold-two-diamond-bypass-ring_e81a21499d
day3,3180,"VINTAGE 14K YELLOW GOLD, PALLADIUM AND DIAMOND SOLITAIRE RING",4000,6000,2000,3,4,https://live.thomastonauction.com/auction-lot/vintage-14k-yellow-gold-palladium-and-diamond-sol_32e0590ba1
day3,3156,"VINTAGE 18K GOLD AND DIAMOND GREEK KEY DESIGN JEWELRY SUITE",8000,10000,4000,3,1,https://live.thomastonauction.com/auction-lot/vintage-18k-gold-and-diamond-greek-key-design-jew_9538cf6c51
day3,3182,"VINTAGE 18K GOLD, EMERALD AND DIAMOND RING",2000,3000,1000,3,3,https://live.thomastonauction.com/auction-lot/vintage-18k-gold-emerald-and-diamond-ring_baf8c5a119
day3,3045,"VINTAGE (5 PC) WROUGHT IRON DINING SET",800,1200,250,3,1,https://live.thomastonauction.com/auction-lot/vintage-5-pc-wrought-iron-dining-set_fede3d5693
day3,3206,"VINTAGE BREITLING TOP TIME CHRONOGRAPH WRISTWATCH",3000,4000,1500,3,2,https://live.thomastonauction.com/auction-lot/vintage-breitling-top-time-chronograph-wristwatch_383a6a23c2
day3,3207,"VINTAGE GUCCI 18K WHITE GOLD AND BLUE TOPAZ RING",1500,2500,750,3,2,https://live.thomastonauction.com/auction-lot/vintage-gucci-18k-white-gold-and-blue-topaz-ring_2d939afd24
day3,3202,"VINTAGE HAMILTON CROSS COUNTRY WRISTWATCH",800,1000,250,3,2,https://live.thomastonauction.com/auction-lot/vintage-hamilton-cross-country-wristwatch_e2a2c25bd9
